filename,group_id,mo2_mean,mo2_sd,o2_mean,o2_sd,n,r,mo2_se,o2_se,error_type,plot_type
Urbina-et-al-2012-fig1a.png,1,3.497797357,1.40969163,3.655172414,0.517241379,67,NA,0.172221243,0.063191092,sd,mean_error
Urbina-et-al-2012-fig1a.png,2,4.378854626,1.233480176,5.068965517,0.448275862,67,NA,0.150693588,0.054765613,sd,mean_error
Urbina-et-al-2012-fig1a.png,3,5.257755066,1.524722467,6.448275862,0.413793103,67,NA,0.186274497,0.050552874,sd,mean_error
Urbina-et-al-2012-fig1a.png,4,5.668257269,1.202185022,7.965517241,0.379310345,67,NA,0.146870276,0.046340134,sd,mean_error
Urbina-et-al-2012-fig1a.png,5,6.196045815,1.700651982,9.206896552,0.413793103,67,NA,0.207767708,0.050552874,sd,mean_error
Urbina-et-al-2012-fig1a.png,6,6.196045815,1.524722467,10.55172414,0.379310345,67,NA,0.186274497,0.046340134,sd,mean_error
Urbina-et-al-2012-fig1a.png,7,7.16365815,1.847259912,11.89655172,0.344827586,67,NA,0.225678717,0.042127395,sd,mean_error
Urbina-et-al-2012-fig1a.png,8,7.192979736,2.228440529,13.17241379,0.379310345,67,NA,0.272247341,0.046340134,sd,mean_error
Urbina-et-al-2012-fig1a.png,9,8.571094273,1.964546256,14.65517241,0.448275862,67,NA,0.240007524,0.054765613,sd,mean_error
Urbina-et-al-2012-fig1a.png,10,9.128204405,2.463013216,15.75862069,0.344827586,67,NA,0.300904956,0.042127395,sd,mean_error
Urbina-et-al-2012-fig1a.png,11,9.245490749,2.111154185,17.17241379,0.413793103,67,NA,0.257918534,0.050552874,sd,mean_error
Urbina-et-al-2012-fig1a.png,12,10.21310308,2.2870837,18.65517241,0.413793103,67,NA,0.279411745,0.050552874,sd,mean_error
